"projectID";"topic";"title"
"101056784";"HORIZON-CL5-2021-D5-01-08";"Enabling the full integration of very high power fuel cells in ship design using co-generation and combined cycle solutions for increased efficiency with multiple fuels (ZEWT Partnership)"
"101079696";"HORIZON-INFRA-2021-DEV-02-01";"Preparatory phase of new ESFRI research infrastructure projects"
"101079679";"HORIZON-INFRA-2021-DEV-02-02";"Consolidation of the research infrastructure landscape – Individual support for ESFRI projects"
"101073238";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101070521";"HORIZON-CL4-2021-HUMAN-01-13";"eXtended Reality Modelling (RIA)"
"101057438";"HORIZON-HLTH-2021-TOOL-06-02";"Next generation advanced therapies to treat highly prevalent and high burden diseases with unmet medical needs"
"101046297";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101063870";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101072637";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101073040";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101072354";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101072363";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101072454";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101079147";"HORIZON-WIDERA-2021-ACCESS-03-01";"Twinning"
"101069937";"HORIZON-CL5-2021-D6-01-12";"Controlling infection on large passenger ships"
"101073485";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101057385";"HORIZON-HLTH-2021-STAYHLTH-01-02";"Towards a molecular and neurobiological understanding of mental health and mental illness for the benefit of citizens and patients"
"101056810";"HORIZON-CL5-2021-D1-01-02";"Modelling the role of the circular economy for climate change mitigation"
"101070482";"HORIZON-CL4-2021-DIGITAL-EMERGING-01-07";"Advanced Photonic Integrated Circuits (Photonics Partnership) (RIA)"
"101079363";"HORIZON-WIDERA-2021-ACCESS-03-01";"Twinning"
"101075672";"HORIZON-CL5-2021-D3-02-10";"Demonstration of advanced Power Electronics for application in the energy sector"
"101060393";"HORIZON-CL6-2021-BIODIV-01-13";"Breeding for resilience: focus on root-based traits"
